#proteinId	gotermId	goName	gotermType	goAcc
9948	9573	kinase activity	molecular_function	GO:0016301
9948	5830	metabolic process	biological_process	GO:0008152
9948	3736	ATP binding	molecular_function	GO:0005524
9989	2476	aldehyde reductase activity	molecular_function	GO:0004032
10467	4283	electron transport	biological_process	GO:0006118
10467	2443	acyl-CoA dehydrogenase activity	molecular_function	GO:0003995
10467	9834	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	GO:0016627
10467	5830	metabolic process	biological_process	GO:0008152
10467	23919	FAD binding	molecular_function	GO:0050660
10467	2319	2-methylacyl-CoA dehydrogenase activity	molecular_function	GO:0003853
10513	9985	hydrolase activity	molecular_function	GO:0016787
10513	10190	myosin phosphatase complex	cellular_component	GO:0017023
10513	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
10513	10186	myosin phosphatase activity	molecular_function	GO:0017018
10513	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
10513	6080	CTD phosphatase activity	molecular_function	GO:0008420
10513	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
10513	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
10513	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
10513	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
10667	5830	metabolic process	biological_process	GO:0008152
10667	6724	nucleoside metabolic process	biological_process	GO:0009116
10667	6721	purine base biosynthetic process	biological_process	GO:0009113
10667	2486	amidophosphoribosyltransferase activity	molecular_function	GO:0004044
10711	2996	lysophospholipase activity	molecular_function	GO:0004622
10712	2996	lysophospholipase activity	molecular_function	GO:0004622
10847	21296	metal ion transmembrane transporter activity	molecular_function	GO:0046873
10847	12906	metal ion transport	biological_process	GO:0030001
10847	9320	membrane	cellular_component	GO:0016020
10863	9940	transferase activity	molecular_function	GO:0016740
10863	5830	metabolic process	biological_process	GO:0008152
10863	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
10863	9967	transferase activity, transferring nitrogenous groups	molecular_function	GO:0016769
10863	6667	biosynthetic process	biological_process	GO:0009058
10863	10222	serine C-palmitoyltransferase complex	cellular_component	GO:0017059
10863	3123	serine C-palmitoyltransferase activity	molecular_function	GO:0004758
11126	5939	zinc ion binding	molecular_function	GO:0008270
11126	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
11126	3838	nucleus	cellular_component	GO:0005634
11126	2196	transcription factor activity	molecular_function	GO:0003700
11126	4499	transcription	biological_process	GO:0006350
11126	2176	DNA binding	molecular_function	GO:0003677
11270	4602	protein amino acid phosphorylation	biological_process	GO:0006468
11270	3736	ATP binding	molecular_function	GO:0005524
11270	3043	protein kinase activity	molecular_function	GO:0004672
11270	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
11270	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
11270	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
11270	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
11270	10103	SAP kinase activity	molecular_function	GO:0016909
11270	10102	MAP kinase 2 activity	molecular_function	GO:0016908
11270	6196	JUN kinase kinase activity	molecular_function	GO:0008545
11270	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
11270	6005	MP kinase activity	molecular_function	GO:0008339
11270	6004	MAP kinase 1 activity	molecular_function	GO:0008338
11270	3084	Janus kinase activity	molecular_function	GO:0004718
11270	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
11270	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
11270	3074	MAP kinase kinase activity	molecular_function	GO:0004708
11270	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
11270	3071	JUN kinase activity	molecular_function	GO:0004705
11270	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
11270	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
11270	3067	atypical protein kinase C activity	molecular_function	GO:0004700
11270	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
11270	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
11270	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
11270	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
11270	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
11270	3051	casein kinase I activity	molecular_function	GO:0004681
11270	3050	casein kinase activity	molecular_function	GO:0004680
11270	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
11270	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
11270	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
11270	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
11687	3827	intracellular	cellular_component	GO:0005622
11810	11509	deaminase activity	molecular_function	GO:0019239
11810	6773	purine ribonucleoside monophosphate biosynthetic process	biological_process	GO:0009168
11847	3737	GTP binding	molecular_function	GO:0005525
11853	5830	metabolic process	biological_process	GO:0008152
11853	2290	catalytic activity	molecular_function	GO:0003824
11853	9986	hydrolase activity, acting on ester bonds	molecular_function	GO:0016788
11853	6667	biosynthetic process	biological_process	GO:0009058
11853	19226	aryl-CoA synthetase (ADP-forming) activity	molecular_function	GO:0043762
11853	19223	branched-chain acyl-CoA synthetase (ADP-forming) activity	molecular_function	GO:0043759
11853	11151	2,4-dichlorobenzoate-CoA ligase activity	molecular_function	GO:0018857
11853	11150	benzoyl acetate-CoA ligase activity	molecular_function	GO:0018856
11853	11149	2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA synthetase activity	molecular_function	GO:0018855
11853	11148	3-isopropenyl-6-oxoheptanoyl-CoA synthetase activity	molecular_function	GO:0018854
11853	11147	perillyl-CoA synthetase activity	molecular_function	GO:0018853
11853	8961	fatty-acid ligase activity	molecular_function	GO:0015645
11853	3135	succinate-CoA ligase activity	molecular_function	GO:0004774
11853	2444	acyl-CoA ligase activity	molecular_function	GO:0003996
11921	4602	protein amino acid phosphorylation	biological_process	GO:0006468
11921	3736	ATP binding	molecular_function	GO:0005524
11921	3043	protein kinase activity	molecular_function	GO:0004672
11921	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
11921	3052	protein kinase CK2 activity	molecular_function	GO:0004682
12094	2376	GMP synthase (glutamine-hydrolyzing) activity	molecular_function	GO:0003922
12252	9710	oxidoreductase activity	molecular_function	GO:0016491
12252	3722	copper ion binding	molecular_function	GO:0005507
12252	6106	L-ascorbate oxidase activity	molecular_function	GO:0008447
12403	20924	phosphatidylinositol metabolic process	biological_process	GO:0046488
12403	9578	phosphatidylinositol phosphate kinase activity	molecular_function	GO:0016307
12403	9579	1-phosphatidylinositol-4-phosphate 5-kinase activity	molecular_function	GO:0016308
12439	4602	protein amino acid phosphorylation	biological_process	GO:0006468
12439	3736	ATP binding	molecular_function	GO:0005524
12439	3043	protein kinase activity	molecular_function	GO:0004672
12439	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
12439	3052	protein kinase CK2 activity	molecular_function	GO:0004682
12511	5939	zinc ion binding	molecular_function	GO:0008270
12511	3727	protein binding	molecular_function	GO:0005515
12511	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
12511	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
12511	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
12511	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
12511	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
12523	19229	T/G mismatch-specific endonuclease activity	molecular_function	GO:0043765
12523	18089	phosphoric ester hydrolase activity	molecular_function	GO:0042578
12523	2909	nuclease activity	molecular_function	GO:0004518
12544	3727	protein binding	molecular_function	GO:0005515
12570	3036	Rab-protein geranylgeranyltransferase activity	molecular_function	GO:0004663
12675	5939	zinc ion binding	molecular_function	GO:0008270
12675	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
12675	3838	nucleus	cellular_component	GO:0005634
12675	2196	transcription factor activity	molecular_function	GO:0003700
12904	3708	binding	molecular_function	GO:0005488
12922	5939	zinc ion binding	molecular_function	GO:0008270
12922	3727	protein binding	molecular_function	GO:0005515
12943	12251	heme binding	molecular_function	GO:0020037
12943	4283	electron transport	biological_process	GO:0006118
12943	3721	iron ion binding	molecular_function	GO:0005506
12943	2888	monooxygenase activity	molecular_function	GO:0004497
12970	5939	zinc ion binding	molecular_function	GO:0008270
12970	3827	intracellular	cellular_component	GO:0005622
12970	2175	nucleic acid binding	molecular_function	GO:0003676
13166	12251	heme binding	molecular_function	GO:0020037
13166	4283	electron transport	biological_process	GO:0006118
13166	3721	iron ion binding	molecular_function	GO:0005506
13166	2888	monooxygenase activity	molecular_function	GO:0004497
13530	9321	integral to membrane	cellular_component	GO:0016021
13530	3032	prenyltransferase activity	molecular_function	GO:0004659
13532	18831	[formate-C-acetyltransferase]-activating enzyme activity	molecular_function	GO:0043365
13650	5939	zinc ion binding	molecular_function	GO:0008270
13650	2175	nucleic acid binding	molecular_function	GO:0003676
13840	9773	transcription repressor activity	molecular_function	GO:0016564
13840	4925	regulation of nitrogen utilization	biological_process	GO:0006808
14192	2175	nucleic acid binding	molecular_function	GO:0003676
14402	23919	FAD binding	molecular_function	GO:0050660
14402	9710	oxidoreductase activity	molecular_function	GO:0016491
14402	2290	catalytic activity	molecular_function	GO:0003824
14402	11420	cytokinin dehydrogenase activity	molecular_function	GO:0019139
14770	4283	electron transport	biological_process	GO:0006118
14770	21336	transition metal ion binding	molecular_function	GO:0046914
14770	12251	heme binding	molecular_function	GO:0020037
14770	9710	oxidoreductase activity	molecular_function	GO:0016491
14770	13044	molybdenum ion binding	molecular_function	GO:0030151
14770	23919	FAD binding	molecular_function	GO:0050660
14770	21280	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	molecular_function	GO:0046857
14770	17658	nitrate assimilation	biological_process	GO:0042128
14770	3721	iron ion binding	molecular_function	GO:0005506
14841	17205	regulation of Rho protein signal transduction	biological_process	GO:0035023
14841	3827	intracellular	cellular_component	GO:0005622
14841	3425	Rho guanyl-nucleotide exchange factor activity	molecular_function	GO:0005089
14841	5323	intracellular signaling cascade	biological_process	GO:0007242
14841	3421	guanyl-nucleotide exchange factor activity	molecular_function	GO:0005085
14841	3724	calcium ion binding	molecular_function	GO:0005509
14848	5939	zinc ion binding	molecular_function	GO:0008270
14848	3827	intracellular	cellular_component	GO:0005622
14848	2175	nucleic acid binding	molecular_function	GO:0003676
14877	2967	oxoglutarate dehydrogenase (succinyl-transferring) activity	molecular_function	GO:0004591
15154	7277	L-arabinokinase activity	molecular_function	GO:0009702
15225	24588	regulation of oxidoreductase activity	biological_process	GO:0051341
15225	19347	malolactic enzyme activity	molecular_function	GO:0043883
15225	19290	sulfur oxygenase reductase activity	molecular_function	GO:0043826
15225	19203	F420H2 dehydrogenase activity	molecular_function	GO:0043738
15263	5830	metabolic process	biological_process	GO:0008152
15263	2404	NAD+ kinase activity	molecular_function	GO:0003951
15263	18240	NADH kinase activity	molecular_function	GO:0042736
15390	5909	metallopeptidase activity	molecular_function	GO:0008237
15390	4639	proteolysis	biological_process	GO:0006508
15390	21401	protein dimerization activity	molecular_function	GO:0046983
15390	9985	hydrolase activity	molecular_function	GO:0016787
15390	2659	Gly-X carboxypeptidase activity	molecular_function	GO:0004226
15482	3736	ATP binding	molecular_function	GO:0005524
15482	2792	helicase activity	molecular_function	GO:0004386
15482	2175	nucleic acid binding	molecular_function	GO:0003676
15482	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
15754	5849	O-methyltransferase activity	molecular_function	GO:0008171
15757	9320	membrane	cellular_component	GO:0016020
15757	6276	carbohydrate transport	biological_process	GO:0008643
15757	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
15757	9321	integral to membrane	cellular_component	GO:0016021
15757	4927	transport	biological_process	GO:0006810
15757	3546	transporter activity	molecular_function	GO:0005215
15775	3708	binding	molecular_function	GO:0005488
15778	5323	intracellular signaling cascade	biological_process	GO:0007242
15778	5250	signal transduction	biological_process	GO:0007165
15778	3003	phospholipase C activity	molecular_function	GO:0004629
15778	4758	lipid metabolic process	biological_process	GO:0006629
15778	2830	phosphoinositide phospholipase C activity	molecular_function	GO:0004435
15941	5830	metabolic process	biological_process	GO:0008152
15941	5765	N-acetyltransferase activity	molecular_function	GO:0008080
15941	24783	iron-sulfur cluster binding	molecular_function	GO:0051536
15941	2290	catalytic activity	molecular_function	GO:0003824
15941	2802	histone acetyltransferase activity	molecular_function	GO:0004402
16247	21296	metal ion transmembrane transporter activity	molecular_function	GO:0046873
16247	12906	metal ion transport	biological_process	GO:0030001
16247	9320	membrane	cellular_component	GO:0016020
16255	3827	intracellular	cellular_component	GO:0005622
16356	4602	protein amino acid phosphorylation	biological_process	GO:0006468
16356	3736	ATP binding	molecular_function	GO:0005524
16356	3043	protein kinase activity	molecular_function	GO:0004672
16356	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
16356	3052	protein kinase CK2 activity	molecular_function	GO:0004682
16437	21336	transition metal ion binding	molecular_function	GO:0046914
16437	9710	oxidoreductase activity	molecular_function	GO:0016491
16544	9710	oxidoreductase activity	molecular_function	GO:0016491
16544	4283	electron transport	biological_process	GO:0006118
16544	934	L-amino-acid oxidase activity	molecular_function	GO:0001716
16551	5967	isoprenoid biosynthetic process	biological_process	GO:0008299
16596	3736	ATP binding	molecular_function	GO:0005524
16596	2792	helicase activity	molecular_function	GO:0004386
16596	2175	nucleic acid binding	molecular_function	GO:0003676
16596	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
16596	5939	zinc ion binding	molecular_function	GO:0008270
16596	3827	intracellular	cellular_component	GO:0005622
16609	9710	oxidoreductase activity	molecular_function	GO:0016491
16609	4283	electron transport	biological_process	GO:0006118
16609	934	L-amino-acid oxidase activity	molecular_function	GO:0001716
16931	10614	protein amino acid N-linked glycosylation via asparagine	biological_process	GO:0018279
16931	3978	endoplasmic reticulum membrane	cellular_component	GO:0005789
16931	2956	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	molecular_function	GO:0004579
16967	5939	zinc ion binding	molecular_function	GO:0008270
17025	5939	zinc ion binding	molecular_function	GO:0008270
17025	3827	intracellular	cellular_component	GO:0005622
17025	2175	nucleic acid binding	molecular_function	GO:0003676
17231	4602	protein amino acid phosphorylation	biological_process	GO:0006468
17231	3736	ATP binding	molecular_function	GO:0005524
17231	3043	protein kinase activity	molecular_function	GO:0004672
17231	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
17251	4602	protein amino acid phosphorylation	biological_process	GO:0006468
17251	3736	ATP binding	molecular_function	GO:0005524
17251	3043	protein kinase activity	molecular_function	GO:0004672
17251	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
17251	3081	non-membrane spanning protein tyrosine kinase activity	molecular_function	GO:0004715
17368	4639	proteolysis	biological_process	GO:0006508
17368	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
17456	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
17456	162	nucleotide binding	molecular_function	GO:0000166
17456	3736	ATP binding	molecular_function	GO:0005524
17456	13056	protein catabolic process	biological_process	GO:0030163
17456	9985	hydrolase activity	molecular_function	GO:0016787
17456	3930	cytoplasm	cellular_component	GO:0005737
17456	3838	nucleus	cellular_component	GO:0005634
17728	5939	zinc ion binding	molecular_function	GO:0008270
17729	9321	integral to membrane	cellular_component	GO:0016021
17729	8649	solute:hydrogen antiporter activity	molecular_function	GO:0015299
17729	4993	regulation of pH	biological_process	GO:0006885
17807	6212	protein transporter activity	molecular_function	GO:0008565
17807	4994	intracellular protein transport	biological_process	GO:0006886
17807	3930	cytoplasm	cellular_component	GO:0005737
17807	3846	nuclear pore	cellular_component	GO:0005643
17807	3838	nucleus	cellular_component	GO:0005634
17807	70	protein import into nucleus, docking	biological_process	GO:0000059
17807	3708	binding	molecular_function	GO:0005488
18045	3176	asparagine-tRNA ligase activity	molecular_function	GO:0004816
18065	4602	protein amino acid phosphorylation	biological_process	GO:0006468
18065	3736	ATP binding	molecular_function	GO:0005524
18065	3043	protein kinase activity	molecular_function	GO:0004672
18081	9710	oxidoreductase activity	molecular_function	GO:0016491
18081	7744	FMN binding	molecular_function	GO:0010181
18139	9320	membrane	cellular_component	GO:0016020
18139	2290	catalytic activity	molecular_function	GO:0003824
18140	12251	heme binding	molecular_function	GO:0020037
18140	4283	electron transport	biological_process	GO:0006118
18140	3721	iron ion binding	molecular_function	GO:0005506
18140	2888	monooxygenase activity	molecular_function	GO:0004497
18140	2216	RNA binding	molecular_function	GO:0003723
18260	4639	proteolysis	biological_process	GO:0006508
18260	2632	pepsin A activity	molecular_function	GO:0004194
18260	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
18292	24336	unfolded protein binding	molecular_function	GO:0051082
18292	9551	prefoldin complex	cellular_component	GO:0016272
18292	4591	protein folding	biological_process	GO:0006457
18308	3727	protein binding	molecular_function	GO:0005515
18321	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
18321	9321	integral to membrane	cellular_component	GO:0016021
18321	4927	transport	biological_process	GO:0006810
18321	3736	ATP binding	molecular_function	GO:0005524
18423	2176	DNA binding	molecular_function	GO:0003677
18774	23920	NADP binding	molecular_function	GO:0050661
18774	9321	integral to membrane	cellular_component	GO:0016021
18774	6880	1-2nm peptidoglycan-based cell wall	cellular_component	GO:0009276
18774	6371	NAD(P)+ transhydrogenase (AB-specific) activity	molecular_function	GO:0008750
18774	4283	electron transport	biological_process	GO:0006118
18881	9710	oxidoreductase activity	molecular_function	GO:0016491
18881	4265	tricarboxylic acid cycle intermediate metabolic process	biological_process	GO:0006100
19007	4924	nitrogen compound metabolic process	biological_process	GO:0006807
19007	2762	glutamate-ammonia ligase activity	molecular_function	GO:0004356
19095	4499	transcription	biological_process	GO:0006350
19095	2356	DNA-directed RNA polymerase activity	molecular_function	GO:0003899
19095	2176	DNA binding	molecular_function	GO:0003677
19132	3736	ATP binding	molecular_function	GO:0005524
19132	2176	DNA binding	molecular_function	GO:0003677
19132	2792	helicase activity	molecular_function	GO:0004386
19132	2175	nucleic acid binding	molecular_function	GO:0003676
19137	2445	acyl-CoA oxidase activity	molecular_function	GO:0003997
19350	2176	DNA binding	molecular_function	GO:0003677
19385	3419	small GTPase regulator activity	molecular_function	GO:0005083
19908	3162	transketolase activity	molecular_function	GO:0004802
20090	3724	calcium ion binding	molecular_function	GO:0005509
20090	4927	transport	biological_process	GO:0006810
20090	3935	mitochondrial inner membrane	cellular_component	GO:0005743
20090	3708	binding	molecular_function	GO:0005488
20186	3708	binding	molecular_function	GO:0005488
20434	5909	metallopeptidase activity	molecular_function	GO:0008237
20434	4639	proteolysis	biological_process	GO:0006508
20434	21401	protein dimerization activity	molecular_function	GO:0046983
20434	9985	hydrolase activity	molecular_function	GO:0016787
20434	2659	Gly-X carboxypeptidase activity	molecular_function	GO:0004226
20707	4283	electron transport	biological_process	GO:0006118
20707	2443	acyl-CoA dehydrogenase activity	molecular_function	GO:0003995
20707	9834	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	GO:0016627
20707	5830	metabolic process	biological_process	GO:0008152
20707	23919	FAD binding	molecular_function	GO:0050660
20737	11484	phosphatase activator activity	molecular_function	GO:0019211
20739	9710	oxidoreductase activity	molecular_function	GO:0016491
20739	5830	metabolic process	biological_process	GO:0008152
20739	14950	sorbose reductase activity	molecular_function	GO:0032115
20776	21842	nucleoside-triphosphate diphosphatase activity	molecular_function	GO:0047429
20854	2968	pantoate-beta-alanine ligase activity	molecular_function	GO:0004592
20971	10000	prolyl aminopeptidase activity	molecular_function	GO:0016804
21053	5830	metabolic process	biological_process	GO:0008152
21053	6611	selenocysteine lyase activity	molecular_function	GO:0009000
21056	24058	hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement	molecular_function	GO:0050800
21117	17565	host cell nucleus	cellular_component	GO:0042025
21117	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
21117	2196	transcription factor activity	molecular_function	GO:0003700
21117	2420	RNA-directed RNA polymerase activity	molecular_function	GO:0003968
21162	4602	protein amino acid phosphorylation	biological_process	GO:0006468
21162	3736	ATP binding	molecular_function	GO:0005524
21162	3043	protein kinase activity	molecular_function	GO:0004672
21162	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
21162	3052	protein kinase CK2 activity	molecular_function	GO:0004682
21173	5794	nicotinamide N-methyltransferase activity	molecular_function	GO:0008112
21232	6284	amino acid biosynthetic process	biological_process	GO:0008652
21232	4691	proline biosynthetic process	biological_process	GO:0006561
21232	2755	glutamate 5-kinase activity	molecular_function	GO:0004349
21232	2216	RNA binding	molecular_function	GO:0003723
21232	3930	cytoplasm	cellular_component	GO:0005737
21312	12002	carboxylic acid metabolic process	biological_process	GO:0019752
21312	2845	isocitrate lyase activity	molecular_function	GO:0004451
21312	2290	catalytic activity	molecular_function	GO:0003824
21344	3727	protein binding	molecular_function	GO:0005515
21494	23919	FAD binding	molecular_function	GO:0050660
21494	2290	catalytic activity	molecular_function	GO:0003824
21494	9710	oxidoreductase activity	molecular_function	GO:0016491
21494	2852	D-lactate dehydrogenase (cytochrome) activity	molecular_function	GO:0004458
21557	5967	isoprenoid biosynthetic process	biological_process	GO:0008299
21575	4602	protein amino acid phosphorylation	biological_process	GO:0006468
21575	3736	ATP binding	molecular_function	GO:0005524
21575	3043	protein kinase activity	molecular_function	GO:0004672
21575	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
21639	4639	proteolysis	biological_process	GO:0006508
21639	3736	ATP binding	molecular_function	GO:0005524
21639	2658	metalloendopeptidase activity	molecular_function	GO:0004222
21639	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
21639	162	nucleotide binding	molecular_function	GO:0000166
21639	13056	protein catabolic process	biological_process	GO:0030163
21639	9320	membrane	cellular_component	GO:0016020
21639	13282	matrilysin-2 activity	molecular_function	GO:0030402
21639	5987	prenyl protein specific endopeptidase activity	molecular_function	GO:0008319
21639	5813	collagenase activity	molecular_function	GO:0008133
21639	2679	stromelysin 3 activity	molecular_function	GO:0004249
21687	12251	heme binding	molecular_function	GO:0020037
21687	4283	electron transport	biological_process	GO:0006118
21687	3721	iron ion binding	molecular_function	GO:0005506
21687	2888	monooxygenase activity	molecular_function	GO:0004497
21687	10970	benzoate 4-monooxygenase activity	molecular_function	GO:0018664
21698	9773	transcription repressor activity	molecular_function	GO:0016564
21698	4925	regulation of nitrogen utilization	biological_process	GO:0006808
21769	5830	metabolic process	biological_process	GO:0008152
21769	3736	ATP binding	molecular_function	GO:0005524
21769	2290	catalytic activity	molecular_function	GO:0003824
21769	10069	ligase activity	molecular_function	GO:0016874
21769	6968	biotin binding	molecular_function	GO:0009374
21853	2175	nucleic acid binding	molecular_function	GO:0003676
21896	3736	ATP binding	molecular_function	GO:0005524
21896	13828	mismatched DNA binding	molecular_function	GO:0030983
21896	4457	mismatch repair	biological_process	GO:0006298
21957	4513	rRNA processing	biological_process	GO:0006364
21957	3838	nucleus	cellular_component	GO:0005634
21957	2216	RNA binding	molecular_function	GO:0003723
21957	19316	monomethylamine methyltransferase activity	molecular_function	GO:0043852
21957	19315	methanol-specific methylcobalamin:coenzyme M methyltransferase activity	molecular_function	GO:0043851
